country_name,item_name,day1,dpr1,day2,dpr2,value,unit
서울,땅콩/국산,당일,"360,000",1일전,"360,000",0.0,30kg
서울,느타리버섯/느타리버섯,당일,"7,000",1일전,"7,500",6.7,2kg
서울,느타리버섯/애느타리버섯,당일,"9,250",1일전,"9,000",2.8,2kg
서울,팽이버섯/팽이버섯,당일,"13,700",1일전,"13,000",5.4,5kg
서울,새송이버섯/새송이버섯,당일,"8,750",1일전,"9,000",2.8,2kg
서울,사과/후지,당일,"36,600",1일전,"36,600",0.0,10kg
서울,배/신고,당일,"49,800",1일전,"49,800",0.0,15kg
서울,포도/레드글로브 페루,당일,"34,600",1일전,"34,600",0.0,8kg
서울,바나나/수입,당일,"31,300",1일전,"31,300",0.0,13kg
서울,참다래/국산,당일,"49,800",1일전,"49,800",0.0,10kg
서울,파인애플/수입,당일,"30,600",1일전,"30,600",0.0,12kg
서울,오렌지/네이블 미국,당일,"71,600",1일전,"71,600",0.0,18kg
서울,레몬/수입,당일,"53,300",1일전,"53,300",0.0,17kg
서울,망고/수입,당일,"38,000",1일전,"38,000",0.0,5kg
서울,건미역/건미역,당일,"12,000",1일전,"12,000",0.0,1kg
서울,굴/굴,당일,"9,660",1일전,"9,660",0.0,1kg
부산,쌀/일반계,당일,"52,267",1일전,"52,267",0.0,20kg
부산,찹쌀/일반계,당일,"4,177",1일전,"4,177",0.0,1kg
부산,콩/흰 콩(국산),당일,"5,913",1일전,"5,913",0.0,500g
부산,팥/붉은 팥(국산),당일,"8,813",1일전,"8,813",0.0,500g
부산,녹두/국산,당일,"10,500",1일전,"10,500",0.0,500g
부산,고구마/밤,당일,"4,833",1일전,"4,833",0.0,1kg
부산,감자/수미,당일,520,1일전,520,0.0,100g
부산,배추/월동,당일,"4,500",1일전,"4,500",0.0,1포기
부산,양배추/양배추,당일,"3,500",1일전,"3,500",0.0,1포기
부산,시금치/시금치,당일,"7,930",1일전,"8,080",1.9,1kg
부산,상추/적,당일,825,1일전,825,0.0,100g
부산,상추/청,당일,995,1일전,995,0.0,100g
부산,얼갈이배추/얼갈이배추,당일,"3,163",1일전,"3,163",0.0,1kg
부산,참외/참외,당일,"34,865",1일전,"34,865",0.0,10개
부산,오이/가시계통,당일,"14,753",1일전,"14,753",0.0,10개
부산,오이/다다기계통,당일,"8,330",1일전,"8,330",0.0,10개
부산,호박/애호박,당일,"1,793",1일전,"1,793",0.0,1개
부산,호박/쥬키니,당일,"2,590",1일전,"2,240",15.6,1개
부산,토마토/토마토,당일,"4,893",1일전,"4,893",0.0,1kg
부산,딸기/딸기,당일,"1,120",1일전,"1,120",0.0,100g
부산,무/월동,당일,"1,995",1일전,"1,995",0.0,1개
부산,당근/무세척,당일,"2,940",1일전,"2,940",0.0,1kg
부산,열무/열무,당일,"3,653",1일전,"3,653",0.0,1kg
부산,건고추/화건,당일,"17,000",1일전,"17,000",0.0,600g
부산,건고추/양건,당일,"20,000",1일전,"20,000",0.0,600g
부산,풋고추/풋고추,당일,"1,130",1일전,"1,130",0.0,100g
